question,A,B,C,D,E,answer,parse,model_output,correctness
健脾养胃颗粒适用于哪些中医证候,瘀阻膀胱证,脾虚食积证,风热侵袭,脾阴虚证,寒湿凝滞证,B,该方剂中医证候为脾虚食积证,D,0
养血清脑颗粒治疗哪些中医证候,火毒内蕴证,肺肾两虚,余热未清证,阴虚血瘀证,肝肾阴虚,E,该方剂中医证候为肝肾阴虚、血虚肝旺证、风痰瘀阻证、内伤头痛证,D,0
五福化毒丸与哪些靶点基因相关,STK33,PCSK4,PIK3C2B,KDM5C,YWHAG,E,该方剂靶点基因为YWHAG，PLCG1，EBP，SRD5A2，PDPK1，PDPK1，PDPK1，PDPK1，PDPK1，PDPK1，PDPK1，PRKAB1，HTR1B，HTR1D，HTR1E，HTR1F，HTR2A，HTR2B，HTR2C，HTR3A等。,A,0
健身安胎丸治疗哪些西医疾病,产褥热,感冒,强直性脊柱炎引起,疱疹性皮炎,扁平疣,D,该方剂西医疾病为疱疹性皮炎、单纯性表皮松解症、甲状旁腺功能亢进症、肾炎/骨质疏松症、上前牙突出导致的错颌畸形、多发性脂肪囊肿、乌平顿病、新型冠状病毒肺炎、低钙高钙血症、遗传性角化性皮炎、Li-Fraumeni综合征、霍纳综合征、三毛症、伴有免疫异常的主动脉钙化症、免疫缺陷伴有白细胞和淋巴细胞功能缺陷以及对组胺-1拮抗剂的反应、脾肿大、失聪、脂肪性水肿,C,0
乌鸡白凤片适用于哪些中医疾病,咳逆,脱疽,喑痱,梦遗,崩漏,E,该方剂中医疾病为崩漏，带下,E,1
珍珠灵芝片治疗哪些中医疾病,耳胀,温病,癔病,错语,失眠,E,该方剂中医疾病为溃疡，不寐，眩晕，失眠,E,1
苏菲咳糖浆适用于哪些中医疾病,滑精,产后出血,针眼,哮病,月经前后诸证,D,该方剂中医疾病为哮病，喘病，咳嗽，哮喘,D,1
寒湿痹片适用于哪些西医疾病,哮喘,肢体运动障碍,预防化疗所致静脉炎,脱水型遗传性口腔粘膜细胞增多症,慢性丙型肝炎肝硬化,D,该方剂西医疾病为关节痛、骨关节炎、类风湿关节炎、单纯性表皮松解症、巨球蛋白血症、肾炎/骨质疏松症、上前牙突出导致的错颌畸形、牛皮癣、多发性脂肪囊肿、网状色素性皮肤病、新型冠状病毒肺炎、低钙高钙血症、疣状角化症、遗传性角化性皮炎、Li-Fraumeni综合征、霍纳综合征、脱水型遗传性口腔粘膜细胞增多症、免疫缺陷伴有白细胞和淋巴细胞功能缺陷以及对组胺-1拮抗剂的反应、脾肿大、失聪、脂肪性水肿,E,0
小儿肝炎颗粒适用于哪些中医疾病,中暑,油风,附骨疽,黄疸,梦遗,D,该方剂中医疾病为黄疸，腹胀，胁痛，呕吐，发热,D,1
清金止嗽西瓜膏治疗哪些中医证候,湿热下注证,风热疫毒证,心热阴虚证,痰瘀互结证,肺经燥热证,E,该方剂中医证候为肺燥郁热证、肺经燥热证,C,0
抗病毒胶囊适用于哪些西医疾病,抗精神病药物引起的水肿。,脑淀粉样血管病,药物流产不全,脾肿大,口腔扁平苔癣,D,该方剂西医疾病为范布赫姆病、伴有免疫异常的主动脉钙化症、青光眼、骨溶解、神经元病变、球形红细胞增多症、多发性脂肪囊肿、新型冠状病毒肺炎、低钙高钙血症、遗传性角化性皮炎、半骺发育不良伴软骨瘤和骨软骨瘤、霍纳综合征、穆尔-托雷综合征、肝硬化、角膜炎、抗磷脂综合征、脾肿大、失聪,C,0
心达康片治疗哪些西医疾病,病毒性心肌炎,糖尿病肾病并慢性肾衰竭,羟考酮所致便秘,前轴缺陷,原发性肝癌,A,该方剂西医疾病为病毒性心肌炎、高原心脏病、高血压、瘀血闭阻引起的肺源性心脏病,A,1
天王补心片适用于哪些中医疾病,行经头痛,失眠,慢喉痹,阴蚀,食积,B,该方剂中医疾病为失眠，健忘，心悸,B,1
牛黄清热胶囊含有哪些中药材,独脚莲,黄连,马钱子粉,呋喃唑酮,冬瓜皮,B,该方剂处方为黄连、黄芩、栀子、郁金、寒水石、牛黄、水牛角、琥珀、玳瑁、朱砂、冰片,A,0
清火桅麦胶囊与哪些靶点基因相关,GPX5,PLCG1,PADI6,SGR_RS28980,HADHA,B,该方剂靶点基因为PLCG1，PRKAB1，ACHE，ADA，ADK，ADORA1，ADORA2A，ADORA2B，ADORA2A，ADORA3，AHCY，CD38，AKR1C1，AKR1C3，ALK，ADRA1A，ADRA1D，AMY1B，APP，AR等。,A,0
活心丸包含哪些中药材,骨质,冰片,松罗茶,冬瓜,全蝎,B,该方剂处方为灵芝、麝香、熊胆、红花、牛黄、珍珠、人参、蟾酥、附子、冰片,B,1
胃宁散含有哪些中药材,白勺,紫珠叶提取物,麦芽,蜘蛛,芒果叶干浸膏,C,该方剂处方为麦芽、龙胆、碳酸氢钠、三硅酸镁、颠茄流浸膏、薄荷脑,A,0
补肾强身胶囊与哪些靶点基因相关,PLK4,FTL,SLC22A6,ANXA1,GAMT,C,该方剂靶点基因为HSD17B7，SRD5A2，HTR1B，HTR1D，HTR2B，HTR2C，HTR6，ACHE，ACVR1B，ACVR1，ADORA1，ADORA2A，ADORA2A，ADORA3，ADCY10，CD38，ALB，ALDH2，AOX1，ALPG等。,A,0
复方乌鸡酒包含哪些中药材,香排草,落新妇提取物,马来酸氯苯钠敏,益母草流浸膏,黄精,D,该方剂处方为乌鸡、当归、桑寄生、大枣、黄精、益母草流浸膏,E,0
柏子滋心丸含有哪些中药材,柏子仁,石韦,银线莲,白及,小驳骨,A,该方剂处方为柏子仁、玄参、熟地黄、枸杞子、炙甘草、当归、石菖蒲、麦冬、茯苓,A,1
复方蛤青片中臣药是哪些,土木香,苦杏仁,荜芨,细辛,一点红,B,该方剂君臣佐使为君药：黄芪；臣药：苦杏仁、干蟾、紫菀、白果；佐药：南五味子、附子、前胡、胡椒,B,1
银翘解毒蜜丸治疗哪些中医疾病,积滞,口糜,惊悸,感冒,痧胀,D,该方剂中医疾病为感冒，发热，头痛，咳嗽,D,1
胆酸止咳片适用于哪些中医疾病,咳嗽,脉痹,子眩,噎膈,失音,A,该方剂中医疾病为咳嗽，感冒,A,1
香苏正胃丸与哪些靶点基因相关,ABCG2,CTH,NR2F2,SUCLG2,CYP24A1,E,该方剂靶点基因为CYP24A1，PLCG1，CYP27B1，EBP，SRD5A2，PDPK1，PDPK1，PDPK1，PDPK1，PDPK1，PDPK1，PDPK1，PRKAB1，HTR1B，HTR1D，HTR1E，HTR1F，HTR2A，HTR2B，HTR2C等。,A,0
固肠胶囊中臣药是哪些,光明盐,半边莲,茼麻子,黄柏,赤小豆,D,该方剂君臣佐使为君药：肉豆蔻、乌梅；臣药：吴茱萸、黄连、黄柏、花椒；佐药：六神曲、赤石脂、五倍子、厚朴,C,0
