question,A,B,C,D,E,answer,parse,model_output,correctness
斑蝥适用于哪些中医疾病,烂喉丹痧,子痫,经闭,昏迷,损伤出血,C,该中药中医疾病为顽癣，瘰疬，经闭，癥瘕,A,0
芦根具有哪些功效,消积化滞,清热泻火,息风镇痉,止痢,收湿敛疮,B,该中药功效为清热泻火，生津止渴，除烦，止呕，利尿,D,0
黄药子有哪些功效,补肾安神,润肠通便,攻毒杀虫,安神定惊,清热凉血解毒,E,该中药功效为化痰散结消瘿，清热凉血解毒,C,0
布渣叶治疗哪些证候,胃火证,出血病证,心火亢盛证,食积腹痛证,饮食积滞证,E,该中药中医证候为饮食积滞证，湿热证,B,0
鸡矢藤的类别是什么,补虚药,消食药,涌吐药,开窍药,消食药,B,该中药一级类别为消食药,D,0
两面针配威灵仙有哪些功效,解毒退黄,疏肝理气,升清降浊,化湿行气,活血止痛,E,该中药配伍为两面针功善活血止痛、祛风通络；威灵仙功善祛风除湿、通利经络。两药配伍，祛风通络、活血止痛之功得增，适用于风湿痹痛、拘挛麻木等。、两面针功善活血止痛、祛风通络；威灵仙功善祛风除湿、通利经络。两药配伍，祛风通络、活血止痛之功得增，适用于风湿痹痛、拘挛麻木等。,A,0
木鳖子有哪些药理作用,降压,减少微血栓,保肝,降低血管阻力,抗惊厥,A,该中药药理为降压,B,0
浙贝母治疗哪些中医疾病,遗精,癥积,昏迷,疗疮,咳嗽,E,该中药中医疾病为肺痈，乳痈，瘰疬，咳嗽,E,1
千里光配决明子有哪些功效,解毒散结,安神定志,补肾散寒,活血通脉,祛风活血,A,该中药配伍为千里光长于清热解毒，明目；决明子长于清肝泻火，明目。两药伍用，增强清肝明目之功，适用于肝火上炎所致的目赤肿痛。,A,1
南瓜子具有哪些药理作用,抗病原微生物及原虫,驱虫,抑菌止痒,子宫平滑肌,减慢心率,B,该中药药理为驱虫,B,1
瓦松配金银花具有哪些功效,凉血解毒,消积化滞,消肿排脓,益气解表,清热滋阴,A,该中药配伍为金银花具有清热解毒、凉血消肿的功效。与瓦松配伍，可以增强清热解毒的作用，常用于治疗疮疡肿毒、痈疽等症状。,A,1
天冬配麦冬具有哪些功效,清热消积,通淋止痛,强健腰膝,泻热通便,滋阴润肺,E,该中药配伍为天冬善于滋阴润燥，清肺降火；麦冬长于养阴润肺，益胃生津。两药配伍，可增强滋阴润肺的作用，适用于阴虚肺热，劳嗽咯血等。,E,1
独活包含哪些化学成分,商陆皂苷甲,异欧前胡素,粗蕨素,乙酰蒲公英萜醇,卫矛醇,B,该中药化学成分为蛇床子素，东莨菪内酯，伞花内酯，东莨菪素，异欧前胡素,C,0
紫梢花具有哪些药理作用,促进胆汁分泌,抑菌,煅后皂矾失水变枯,防腐,促进血凝,B,该中药药理为抑菌,A,0
荠菜含有哪些化学成分,草酸,玫瑰呋喃,橙花醇甲酯,知母皂苷B-II,白绵马素,A,"该中药化学成分为草酸，酒石酸，苹果酸，香叶木苷，3,4',7-三羟基黄烷酮，洋槐黄素，芸香苷，槲皮素-3-甲醚，棉花皮素六甲醚，精氨酸，天冬氨酸，脯氨酸，蛋氨酸，亮氨酸",B,0
地黄具有哪些功效,清热生津,清肺化痰,疏散退热,清利湿热,解毒收湿,A,该中药功效为清热生津，凉血止血,E,0
淫羊藿具有哪些药理作用,抗痛风,祛痛,抗肿瘤,改善贫血,镇咳平喘,C,该中药药理为抗辐射，抗肿瘤，改善学习记忆,A,0
伊贝母有哪些药理作用,护肝,止咳,有退热作用,增强耐缺氧能力,降压,E,该中药药理为降压，解痉,B,0
北寒水石治疗哪些中医疾病,丹毒,肺痨,瘘管,呃逆病,干呕,A,该中药中医疾病为丹毒，齿衄，水肿,C,0
巴豆霜与哪个靶标相关,PTGS2,FBH1,CPXM1,IDH3B,BET1,A,该中药靶点基因为AR，CYP19A1，CYP19A1，NR1H4，CA1，CA2，CTDSP1，CTSD，CISD1，F10，CES2，HSD11B1，FABP3，FABP1，FFAR4，GABRA1，GABBR1，GPBAR1，FFAR4，FABP1等。,A,1
